Frequency [Hz],PSD [microns/s^2]^2/Hz
0.188128629182722,3.30586228413922e-19
0.188475563751758,3.29230191143517e-19
0.188823138114938,3.27881271817894e-19
0.189171353452128,3.26539462386474e-19
0.189520210945371,3.25204734528618e-19
0.189869711778889,3.23877052581034e-19
0.190219857139088,3.22556379893368e-19
0.190570648214564,3.21242681319501e-19
0.1909220861961,3.19935923876815e-19
0.191274172276681,3.18636076668029e-19
0.191626907651487,3.17343110568772e-19
0.191980293517906,3.16056997885968e-19
0.19233433107553,3.1477771205827e-19
0.192689021526167,3.13505227414756e-19
0.19304436607384,3.12239518987964e-19
0.193400365924791,3.10980562371642e-19
0.193757022287488,3.09728333613267e-19
0.194114336372628,3.08482809132951e-19
0.19447230939314,3.07243965662093e-19
0.194830942564188,3.06011780196749e-19
0.19519023710318,3.04786229961962e-19
0.195550194229768,3.0356729238432e-19
0.195910815165852,3.02354945070653e-19
0.196272101135586,3.01149165791396e-19
0.196634053365383,2.99949932467466e-19
0.196996673083915,2.98757223159861e-19
0.197359961522123,2.97571016061319e-19
0.197723919913215,2.96391289489592e-19
0.198088549492675,2.95218021881979e-19
0.198453851498264,2.94051191790832e-19
0.198819827170028,2.92890777879842e-19
0.199186477750297,2.91736758920948e-19
0.199553804483694,2.90589113791728e-19
0.199921808617137,2.89447821473185e-19
0.200290491399841,2.88312861047864e-19
0.20065985408333,2.87184211698216e-19
0.20102989792143,2.8606185270517e-19
0.201400624170282,2.84945763446895e-19
0.201772034088346,2.83835923397688e-19
0.202144128936398,2.82732312126988e-19
0.202516909977542,2.81634909298489e-19
0.202890378477211,2.80543694669323e-19
0.203264535703171,2.79458648089333e-19
0.203639382925525,2.78379749500385e-19
0.204014921416721,2.77306978935737e-19
0.204391152451552,2.76240316519449e-19
0.204768077307161,2.75179742465827e-19
0.205145697263047,2.74125237078898e-19
0.20552401360107,2.73076780751914e-19
0.205903027605451,2.7203435396687e-19
0.206282740562781,2.70997937294054e-19
0.206663153762025,2.699675113916e-19
