Frequency [Hz],PSD A^2/Hz
684.48786,1.66E-12
685.1549,7.08E-13
685.82195,5.73E-13
686.48899,1.27E-12
687.15604,6.00E-13
687.82308,7.36E-13
688.49013,1.28E-12
689.15717,1.11E-12
689.82422,1.15E-12
690.49126,9.58E-13
691.15831,1.04E-12
691.82535,1.00E-12
692.49239,7.01E-13
693.15944,1.24E-12
693.82648,1.18E-12
694.49353,9.18E-13
695.16057,1.25E-12
695.82762,6.79E-13
696.49466,1.07E-12
697.16171,1.36E-12
697.82875,1.30E-12
698.4958,6.78E-13
699.16284,1.01E-12
699.82989,1.40E-12
700.49693,1.33E-12
701.16398,1.13E-12
701.83102,6.83E-13
702.49807,6.65E-13
703.16511,1.60E-12
703.83215,1.11E-12
704.4992,1.11E-12
705.16624,1.14E-12
705.83329,1.91E-12
706.50033,9.55E-13
707.16738,9.98E-13
707.83442,1.54E-12
708.50147,1.08E-12
709.16851,5.92E-13
709.83556,9.98E-13
710.5026,1.15E-12
711.16965,8.17E-13
711.83669,7.25E-13
712.50374,1.71E-12
713.17078,7.99E-13
713.83783,1.18E-12
714.50487,7.10E-13
715.17191,9.85E-13
715.83896,9.30E-13
716.506,1.01E-12
717.17305,1.13E-12
717.84009,8.59E-13
718.50714,5.12E-13
719.17418,9.68E-13
719.84123,1.67E-12
720.50827,1.52E-12
721.17532,9.33E-13
721.84236,1.59E-12
722.50941,1.01E-12
723.17645,1.34E-12
723.8435,4.89E-13
724.51054,1.09E-12
725.17759,8.45E-13
725.84463,7.76E-13
726.51167,1.01E-12
727.17872,8.41E-13
727.84576,7.06E-13
728.51281,1.80E-12
729.17985,1.14E-12
729.8469,1.33E-12
730.51394,8.89E-13
731.18099,1.34E-12
731.84803,9.32E-13
732.51508,8.72E-13
733.18212,7.76E-13
733.84917,6.15E-13
734.51621,5.26E-13
735.18326,1.10E-12
735.8503,2.27E-12
736.51734,8.22E-13
737.18439,1.15E-12
737.85143,1.23E-12
738.51848,4.94E-13
739.18552,7.90E-13
739.85257,1.33E-12
740.51961,1.07E-12
741.18666,1.37E-12
741.8537,1.12E-12
742.52075,6.77E-13
743.18779,7.25E-13
743.85484,1.23E-12
744.52188,8.14E-13
745.18893,6.86E-13
745.85597,9.37E-13
746.52302,1.95E-12
747.19006,2.14E-12
747.8571,8.14E-13
748.52415,8.16E-13
749.19119,9.63E-13
749.85824,6.81E-13
750.52528,8.99E-13
751.19233,7.07E-13
751.85937,7.63E-13
752.52642,1.37E-12
753.19346,1.45E-12
753.86051,5.60E-13
754.52755,8.09E-13
755.1946,7.64E-13
755.86164,1.34E-12
756.52869,7.61E-13
757.19573,5.49E-13
757.86278,9.51E-13
758.52982,6.44E-13
759.19686,1.14E-12
759.86391,1.53E-12
760.53095,7.65E-13
761.198,1.42E-12
761.86504,1.31E-12
762.53209,7.86E-13
763.19913,6.05E-13
763.86618,9.89E-13
764.53322,4.90E-13
765.20027,1.17E-12
765.86731,1.07E-12
766.53436,1.39E-12
767.2014,9.51E-13
767.86845,6.87E-13
768.53549,1.33E-12
769.20254,1.20E-12
769.86958,6.79E-13
770.53662,1.07E-12
771.20367,1.24E-12
771.87071,1.18E-12
